"Replicate","Phage.Genotype","Host.Environment","Host.Timepoint","Host.Genotype","Infected","Phage.Timepoint","Environment","Resistant"
"2.1","1","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","1","Future","t4","h1",0,"t1","Future",1
"2.1","2","Future","t4","h1",0,"t1","Future",1
"2.1","3","Future","t4","h1",0,"t1","Future",1
"2.1","4","Future","t4","h1",0,"t1","Future",1
"2.1","5","Future","t4","h1",0,"t1","Future",1
"2.1","6","Future","t4","h1",0,"t1","Future",1
"2.1","7","Future","t4","h1",0,"t1","Future",1
"2.1","8","Future","t4","h1",0,"t1","Future",1
"2.1","9","Future","t4","h1",0,"t1","Future",1
"2.1","10","Future","t4","h1",0,"t1","Future",1
"2.1","11","Future","t4","h1",0,"t1","Future",1
"2.1","12","Future","t4","h1",0,"t1","Future",1
"2.1","1","Future","t9","h1",0,"t1","Future",1
"2.1","2","Future","t9","h1",0,"t1","Future",1
"2.1","3","Future","t9","h1",0,"t1","Future",1
"2.1","4","Future","t9","h1",0,"t1","Future",1
"2.1","5","Future","t9","h1",0,"t1","Future",1
"2.1","6","Future","t9","h1",0,"t1","Future",1
"2.1","7","Future","t9","h1",0,"t1","Future",1
"2.1","8","Future","t9","h1",0,"t1","Future",1
"2.1","9","Future","t9","h1",0,"t1","Future",1
"2.1","10","Future","t9","h1",0,"t1","Future",1
"2.1","11","Future","t9","h1",0,"t1","Future",1
"2.1","12","Future","t9","h1",0,"t1","Future",1
"2.1","1","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","1","Future","t4","h2",0,"t1","Future",1
"2.1","2","Future","t4","h2",0,"t1","Future",1
"2.1","3","Future","t4","h2",0,"t1","Future",1
"2.1","4","Future","t4","h2",0,"t1","Future",1
"2.1","5","Future","t4","h2",0,"t1","Future",1
"2.1","6","Future","t4","h2",0,"t1","Future",1
"2.1","7","Future","t4","h2",0,"t1","Future",1
"2.1","8","Future","t4","h2",0,"t1","Future",1
"2.1","9","Future","t4","h2",0,"t1","Future",1
"2.1","10","Future","t4","h2",0,"t1","Future",1
"2.1","11","Future","t4","h2",0,"t1","Future",1
"2.1","12","Future","t4","h2",0,"t1","Future",1
"2.1","1","Future","t9","h2",0,"t1","Future",1
"2.1","2","Future","t9","h2",0,"t1","Future",1
"2.1","3","Future","t9","h2",0,"t1","Future",1
"2.1","4","Future","t9","h2",0,"t1","Future",1
"2.1","5","Future","t9","h2",0,"t1","Future",1
"2.1","6","Future","t9","h2",0,"t1","Future",1
"2.1","7","Future","t9","h2",0,"t1","Future",1
"2.1","8","Future","t9","h2",0,"t1","Future",1
"2.1","9","Future","t9","h2",0,"t1","Future",1
"2.1","10","Future","t9","h2",0,"t1","Future",1
"2.1","11","Future","t9","h2",0,"t1","Future",1
"2.1","12","Future","t9","h2",0,"t1","Future",1
"2.1","1","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","1","Future","t4","h3",1,"t1","Future",0
"2.1","2","Future","t4","h3",1,"t1","Future",0
"2.1","3","Future","t4","h3",1,"t1","Future",0
"2.1","4","Future","t4","h3",1,"t1","Future",0
"2.1","5","Future","t4","h3",1,"t1","Future",0
"2.1","6","Future","t4","h3",1,"t1","Future",0
"2.1","7","Future","t4","h3",1,"t1","Future",0
"2.1","8","Future","t4","h3",1,"t1","Future",0
"2.1","9","Future","t4","h3",1,"t1","Future",0
"2.1","10","Future","t4","h3",1,"t1","Future",0
"2.1","11","Future","t4","h3",1,"t1","Future",0
"2.1","12","Future","t4","h3",1,"t1","Future",0
"2.1","1","Future","t9","h3",0,"t1","Future",1
"2.1","2","Future","t9","h3",0,"t1","Future",1
"2.1","3","Future","t9","h3",0,"t1","Future",1
"2.1","4","Future","t9","h3",0,"t1","Future",1
"2.1","5","Future","t9","h3",0,"t1","Future",1
"2.1","6","Future","t9","h3",0,"t1","Future",1
"2.1","7","Future","t9","h3",0,"t1","Future",1
"2.1","8","Future","t9","h3",0,"t1","Future",1
"2.1","9","Future","t9","h3",0,"t1","Future",1
"2.1","10","Future","t9","h3",0,"t1","Future",1
"2.1","11","Future","t9","h3",0,"t1","Future",1
"2.1","12","Future","t9","h3",0,"t1","Future",1
"2.1","1","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","1","Future","t4","h4",0,"t1","Future",1
