"Replicate","Timepoint","Phage.Genotype","Host.Genotype","Infected","Resisted"
"2.1","t1","1","1",0.389,0
"2.1","t1","2","2",0.389,0
"2.1","t1","3","3",0.389,0
"2.1","t1","4","4",0.389,0
"2.1","t1","5","5",0.389,0
"2.1","t1","6","6",0.389,0
"2.1","t1","7","7",0.389,0
"2.1","t1","8","8",0.389,0
"2.1","t1","9","9",0.389,0
"2.1","t1","10","10",0.389,0
"2.1","t1","11","11",0.389,0
"2.1","t1","12","12",0.389,0
"2.1","t4","1","1",0.389,0.944
"2.1","t4","2","2",0.417,0.833
"2.1","t4","3","3",0.389,0
"2.1","t4","4","4",0.389,0.944
"2.1","t4","5","5",0.389,0.944
"2.1","t4","6","6",0.389,0
"2.1","t4","7","7",0.639,0.944
"2.1","t4","8","8",0.389,0.944
"2.1","t4","9","9",0.417,0.944
"2.1","t4","10","10",0.417,0.944
"2.1","t4","11","11",0.389,0.944
"2.1","t4","12","12",0.389,0.944
"2.1","t9","1","1",0.389,1
"2.1","t9","2","2",0.417,1
"2.1","t9","3","3",0.389,1
"2.1","t9","4","4",0.389,1
"2.1","t9","5","5",0.389,1
"2.1","t9","6","6",0.389,1
"2.1","t9","7","7",0.639,1
"2.1","t9","8","8",0.389,1
"2.1","t9","9","9",0.417,1
"2.1","t9","10","10",0.417,1
"2.1","t9","11","11",0.389,1
"2.1","t9","12","12",0.389,1
"2.2","t1","1","1",0.333,0.271
"2.2","t1","2","2",0.333,0.354
"2.2","t1","3","3",0.333,0.333
"2.2","t1","4","4",0.333,0.333
"2.2","t1","5","5",0.139,0.354
"2.2","t1","6","6",0.333,0.354
"2.2","t1","7","7",0.167,0.271
"2.2","t1","8","8",0.139,0.375
"2.2","t1","9","9",0.306,0.354
"2.2","t1","10","10",0.333,0.396
"2.2","t1","11","11",0.139,0.313
"2.2","t1","12","12",0.139,0.375
"2.2","t4","1","1",0.667,0.563
"2.2","t4","2","2",0.667,0.646
"2.2","t4","3","3",0.667,0.646
"2.2","t4","4","4",0.694,0.563
"2.2","t4","5","5",0.75,0.604
"2.2","t4","6","6",0.667,0.563
"2.2","t4","7","7",0.667,0.646
"2.2","t4","8","8",0.667,0.563
"2.2","t4","9","9",0.667,0.521
"2.2","t4","10","10",0.667,0.563
"2.2","t4","11","11",0.5,0.646
"2.2","t4","12","12",0.5,0.583
"2.2","t9","1","1",0.375,0.917
"2.2","t9","2","2",0.431,0.958
"2.2","t9","3","3",0.361,0.958
"2.2","t9","4","4",0.222,0.917
"2.2","t9","5","5",0.347,0.917
"2.2","t9","6","6",0.333,0.938
"2.2","t9","7","7",0.333,0.938
"2.2","t9","8","8",0.167,0.938
"2.2","t9","9","9",0.347,0.875
"2.2","t9","10","10",0.181,0.958
"2.2","t9","11","11",0.319,0.938
"2.2","t9","12","12",0.278,0.917
"2.3","t1","1","1",0.361,0.472
"2.3","t1","2","2",0.361,0.5
"2.3","t1","3","3",0.333,0.25
"2.3","t1","4","4",0.361,0.472
"2.3","t1","5","5",0.333,0.611
"2.3","t1","6","6",0.333,0.389
"2.3","t1","7","7",0.333,0.5
"2.3","t1","8","8",0.333,0.5
"2.3","t1","9","9",0.333,0.389
"2.3","t1","10","10",0.361,0.444
"2.3","t1","11","11",0.333,0.528
"2.3","t1","12","12",0.333,0.472
"2.3","t4","1","1",0.028,0.694
"2.3","t4","2","2",0,0.833
"2.3","t4","3","3",0.083,0.806
"2.3","t4","4","4",0.028,0.694
"2.3","t4","5","5",0.028,0.806
"2.3","t4","6","6",0.083,0.833
"2.3","t4","7","7",0.333,0.833
"2.3","t4","8","8",0.306,0.694
"2.3","t4","9","9",0.056,0.778
"2.3","t4","10","10",0.056,0.833
"2.3","t4","11","11",0.028,0.75
"2.3","t4","12","12",0,0.75
"2.3","t9","1","1",0.667,0.889
"2.3","t9","2","2",0.611,0.75
"2.3","t9","3","3",0.583,0.75
"2.3","t9","4","4",0.167,0.833
"2.3","t9","5","5",0.639,1
"2.3","t9","6","6",0.083,0.861
