Replicate,Phage.Genotype,Host.Timepoint,Host.Genotype,Infected,Phage.Timepoint,Host.Background,Resistant,Phage.Background,Escape,Other,Protospacer,SpacerNumber,SpacersTargetted,Locus,PWD
2.1,7,t9,h1,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,7,t9,h2,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,7,t9,h3,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,7,t9,h4,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,7,t9,h5,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,7,t9,h6,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,7,t9,h7,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,7,t9,h8,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,7,t9,h9,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,7,t9,h10,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,7,t9,h11,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,7,t9,h12,0,t9,Contemporary,1,Contemporary,1,,,1,1,CR1,
2.1,8,t9,h1,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,8,t9,h2,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,8,t9,h3,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,8,t9,h4,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,8,t9,h5,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,8,t9,h6,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,8,t9,h7,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,8,t9,h8,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,8,t9,h9,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,8,t9,h10,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,8,t9,h11,1,t9,Contemporary,0,Contemporary,1,,,1,1,CR1,
2.1,8,t9,h12,0,t9,Contemporary,1,Contemporary,1,,,1,1,CR1,
2.2,5,t1,h1,1,t1,Contemporary,0,Contemporary,1,1,,1,1,CR1,
2.2,5,t1,h2,0,t1,Contemporary,1,Contemporary,1,1,,1,1,CR1,
2.2,5,t1,h3,0,t1,Contemporary,1,Contemporary,1,1,,1,1,CR1,
2.2,5,t1,h4,1,t1,Contemporary,0,Contemporary,1,1,,1,1,CR1,
2.2,5,t1,h5,1,t1,Contemporary,0,Contemporary,1,1,,1,1,CR1,
2.2,5,t1,h6,0,t1,Contemporary,1,Contemporary,1,1,,1,1,CR1,
2.2,5,t1,h7,0,t1,Contemporary,1,Contemporary,1,1,,1,1,CR1,
2.2,5,t1,h8,0,t1,Contemporary,1,Contemporary,1,1,,1,1,CR1,
