Replicate,Timepoint,Treatment,pfu,OD600,cfu
1,0,9,1000000000,0.0002,1000000
1,1,9,2000000,0.0442,0
1,2,9,10000,0.0022,0
1,3,9,1,0.0092,0
1,4,9,1,0.0202,0
1,5,9,1,NA,
1,6,9,1,NA,
1,7,9,1,NA,
1,8,9,1,NA,
1,9,9,1,NA,
1,10,9,1,NA,
1,11,9,1,NA,
1,12,9,1,NA,
1,13,9,1,NA,
1,14,9,1,NA,
1,15,9,1,NA,
1,16,9,1,NA,
1,17,9,1,NA,
1,18,9,1,NA,
1,19,9,1,NA,
1,20,9,1,NA,
1,21,9,1,NA,
1,22,9,1,NA,
1,23,9,1,NA,
1,24,9,1,NA,
1,25,9,1,NA,
1,26,9,1,NA,
1,27,9,1,NA,
1,28,9,1,NA,
1,29,9,1,NA,
1,30,9,1,NA,
2,0,9,1000000000,-0.0028,1000000
2,1,9,6000000,0.0012,200
2,2,9,8000000,0.0222,2220
2,3,9,3600000,0.0222,68400
2,4,9,120000,0.0062,1
2,5,9,80000,0.0082,
2,6,9,12000000,0.0002,
2,7,9,3000000,0.2492,
2,8,9,2600,0.2312,
2,9,9,1,0.1842,
2,10,9,1,0.2142,
2,11,9,1,0.2132,
2,12,9,1,NA,
2,13,9,1,NA,
2,14,9,1,NA,
2,15,9,1,NA,
2,16,9,1,NA,
2,17,9,1,NA,
2,18,9,1,NA,
2,19,9,1,NA,
2,20,9,1,NA,
2,21,9,1,NA,
2,22,9,1,NA,
2,23,9,1,NA,
2,24,9,1,NA,
2,25,9,1,NA,
2,26,9,1,NA,
2,27,9,1,NA,
2,28,9,1,NA,
2,29,9,1,NA,
2,30,9,1,NA,
3,0,9,1000000000,-0.0018,1000000
3,1,9,4200000,-0.0028,0
3,2,9,10000,0.0052,0
3,3,9,1,0.0502,0
3,4,9,1,0.0262,0
3,5,9,1,NA,
3,6,9,1,NA,
3,7,9,1,NA,
3,8,9,1,NA,
3,9,9,1,NA,
3,10,9,1,NA,
3,11,9,1,NA,
3,12,9,1,NA,
3,13,9,1,NA,
3,14,9,1,NA,
3,15,9,1,NA,
3,16,9,1,NA,
3,17,9,1,NA,
3,18,9,1,NA,
3,19,9,1,NA,
3,20,9,1,NA,
3,21,9,1,NA,
3,22,9,1,NA,
3,23,9,1,NA,
3,24,9,1,NA,
3,25,9,1,NA,
3,26,9,1,NA,
3,27,9,1,NA,
3,28,9,1,NA,
3,29,9,1,NA,
3,30,9,1,NA,
4,0,9,1000000000,0.0002,1000000
4,1,9,4000000,-0.0038,0
4,2,9,12000,0.0162,0
4,3,9,1,0.0302,0
4,4,9,1,0.0202,0
4,5,9,1,NA,
4,6,9,1,NA,
4,7,9,1,NA,
4,8,9,1,NA,
4,9,9,1,NA,
4,10,9,1,NA,
4,11,9,1,NA,
4,12,9,1,NA,
4,13,9,1,NA,
4,14,9,1,NA,
4,15,9,1,NA,
4,16,9,1,NA,
4,17,9,1,NA,
4,18,9,1,NA,
4,19,9,1,NA,
4,20,9,1,NA,
4,21,9,1,NA,
4,22,9,1,NA,
4,23,9,1,NA,
4,24,9,1,NA,
4,25,9,1,NA,
4,26,9,1,NA,
4,27,9,1,NA,
4,28,9,1,NA,
4,29,9,1,NA,
4,30,9,1,NA,
5,0,9,1000000000,0.0062,1000000
5,1,9,8000000,0.0002,0
5,2,9,4600,0.0042,0
5,3,9,1,0.0762,0
5,4,9,1,0.0072,0
5,5,9,1,NA,
5,6,9,1,NA,
5,7,9,1,NA,
5,8,9,1,NA,
5,9,9,1,NA,
5,10,9,1,NA,
5,11,9,1,NA,
5,12,9,1,NA,
5,13,9,1,NA,
5,14,9,1,NA,
5,15,9,1,NA,
5,16,9,1,NA,
5,17,9,1,NA,
5,18,9,1,NA,
5,19,9,1,NA,
5,20,9,1,NA,
5,21,9,1,NA,
5,22,9,1,NA,
5,23,9,1,NA,
5,24,9,1,NA,
5,25,9,1,NA,
5,26,9,1,NA,
5,27,9,1,NA,
5,28,9,1,NA,
5,29,9,1,NA,
5,30,9,1,NA,
6,0,9,1000000000,-0.0018,1000000
6,1,9,20000000,0.0062,0
6,2,9,4000,-0.0038,0
6,3,9,1,0.0612,0
6,4,9,1,0.0402,0
6,5,9,1,NA,
6,6,9,1,NA,
6,7,9,1,NA,
6,8,9,1,NA,
6,9,9,1,NA,
6,10,9,1,NA,
6,11,9,1,NA,
6,12,9,1,NA,
6,13,9,1,NA,
6,14,9,1,NA,
6,15,9,1,NA,
6,16,9,1,NA,
6,17,9,1,NA,
6,18,9,1,NA,
6,19,9,1,NA,
6,20,9,1,NA,
6,21,9,1,NA,
6,22,9,1,NA,
6,23,9,1,NA,
6,24,9,1,NA,
6,25,9,1,NA,
6,26,9,1,NA,
6,27,9,1,NA,
6,28,9,1,NA,
6,29,9,1,NA,
6,30,9,1,NA,
7,0,9,1000000000,0.0012,1000000
