Replicate,Timepoint,Treatment,pfu
1,0,9,1000000000
1,1,9,2000000
1,2,9,10000
1,3,9,1
1,4,9,1
1,5,9,1
1,6,9,1
1,7,9,1
1,8,9,1
1,9,9,1
1,10,9,1
1,11,9,1
1,12,9,1
1,13,9,1
1,14,9,1
1,15,9,1
1,16,9,1
1,17,9,1
1,18,9,1
1,19,9,1
1,20,9,1
1,21,9,1
1,22,9,1
1,23,9,1
1,24,9,1
1,25,9,1
1,26,9,1
1,27,9,1
1,28,9,1
1,29,9,1
1,30,9,1
2,0,9,1000000000
2,1,9,6000000
2,2,9,8000000
2,3,9,3600000
2,4,9,120000
2,5,9,80000
2,6,9,12000000
2,7,9,3000000
2,8,9,2600
2,9,9,1
2,10,9,1
2,11,9,1
2,12,9,1
2,13,9,1
2,14,9,1
2,15,9,1
2,16,9,1
2,17,9,1
2,18,9,1
2,19,9,1
2,20,9,1
2,21,9,1
2,22,9,1
2,23,9,1
2,24,9,1
2,25,9,1
2,26,9,1
2,27,9,1
2,28,9,1
2,29,9,1
2,30,9,1
3,0,9,1000000000
3,1,9,4200000
3,2,9,10000
3,3,9,1
3,4,9,1
3,5,9,1
3,6,9,1
3,7,9,1
3,8,9,1
3,9,9,1
3,10,9,1
3,11,9,1
3,12,9,1
3,13,9,1
3,14,9,1
3,15,9,1
3,16,9,1
3,17,9,1
3,18,9,1
3,19,9,1
3,20,9,1
3,21,9,1
3,22,9,1
3,23,9,1
3,24,9,1
3,25,9,1
3,26,9,1
3,27,9,1
3,28,9,1
3,29,9,1
3,30,9,1
4,0,9,1000000000
4,1,9,4000000
4,2,9,12000
4,3,9,1
4,4,9,1
4,5,9,1
4,6,9,1
4,7,9,1
4,8,9,1
4,9,9,1
4,10,9,1
4,11,9,1
4,12,9,1
4,13,9,1
4,14,9,1
4,15,9,1
4,16,9,1
4,17,9,1
4,18,9,1
4,19,9,1
4,20,9,1
4,21,9,1
4,22,9,1
4,23,9,1
4,24,9,1
4,25,9,1
4,26,9,1
4,27,9,1
4,28,9,1
4,29,9,1
4,30,9,1
5,0,9,1000000000
5,1,9,8000000
5,2,9,4600
5,3,9,1
5,4,9,1
5,5,9,1
5,6,9,1
5,7,9,1
5,8,9,1
5,9,9,1
5,10,9,1
5,11,9,1
5,12,9,1
5,13,9,1
5,14,9,1
5,15,9,1
5,16,9,1
5,17,9,1
5,18,9,1
5,19,9,1
5,20,9,1
5,21,9,1
