"Replicate","Timepoint","Treatment","pfu"
1,0,9,NA
1,1,9,NA
1,2,9,NA
1,3,9,NA
1,4,9,NA
1,5,9,NA
1,6,9,NA
1,7,9,NA
1,8,9,NA
1,9,9,NA
1,10,9,NA
1,11,9,NA
1,12,9,NA
1,13,9,NA
1,14,9,NA
1,15,9,NA
1,16,9,NA
1,17,9,NA
1,18,9,NA
1,19,9,NA
1,20,9,NA
1,21,9,NA
1,22,9,NA
1,23,9,NA
1,24,9,NA
1,25,9,NA
1,26,9,NA
1,27,9,NA
1,28,9,NA
1,29,9,NA
1,30,9,NA
2,0,9,NA
2,1,9,NA
2,2,9,NA
2,3,9,NA
2,4,9,NA
2,5,9,NA
2,6,9,NA
2,7,9,NA
2,8,9,NA
2,9,9,NA
2,10,9,NA
2,11,9,NA
2,12,9,NA
2,13,9,NA
2,14,9,NA
2,15,9,NA
2,16,9,NA
2,17,9,NA
2,18,9,NA
2,19,9,NA
2,20,9,NA
2,21,9,NA
2,22,9,NA
2,23,9,NA
2,24,9,NA
2,25,9,NA
2,26,9,NA
2,27,9,NA
2,28,9,NA
2,29,9,NA
2,30,9,NA
3,0,9,NA
3,1,9,NA
3,2,9,NA
3,3,9,NA
3,4,9,NA
3,5,9,NA
3,6,9,NA
3,7,9,NA
3,8,9,NA
3,9,9,NA
3,10,9,NA
3,11,9,NA
3,12,9,NA
3,13,9,NA
3,14,9,NA
3,15,9,NA
3,16,9,NA
3,17,9,NA
3,18,9,NA
3,19,9,NA
3,20,9,NA
3,21,9,NA
3,22,9,NA
3,23,9,NA
3,24,9,NA
3,25,9,NA
3,26,9,NA
3,27,9,NA
3,28,9,NA
3,29,9,NA
3,30,9,NA
4,0,9,NA
4,1,9,NA
4,2,9,NA
4,3,9,NA
4,4,9,NA
4,5,9,NA
4,6,9,NA
4,7,9,NA
4,8,9,NA
4,9,9,NA
4,10,9,NA
4,11,9,NA
4,12,9,NA
4,13,9,NA
4,14,9,NA
4,15,9,NA
4,16,9,NA
4,17,9,NA
4,18,9,NA
4,19,9,NA
4,20,9,NA
4,21,9,NA
4,22,9,NA
4,23,9,NA
4,24,9,NA
4,25,9,NA
4,26,9,NA
4,27,9,NA
4,28,9,NA
4,29,9,NA
4,30,9,NA
5,0,9,NA
5,1,9,NA
5,2,9,NA
5,3,9,NA
5,4,9,NA
5,5,9,NA
5,6,9,NA
5,7,9,NA
5,8,9,NA
5,9,9,NA
5,10,9,NA
5,11,9,NA
5,12,9,NA
5,13,9,NA
5,14,9,NA
5,15,9,NA
5,16,9,NA
5,17,9,NA
5,18,9,NA
5,19,9,NA
5,20,9,NA
5,21,9,NA
5,22,9,NA
5,23,9,NA
5,24,9,NA
5,25,9,NA
5,26,9,NA
5,27,9,NA
5,28,9,NA
5,29,9,NA
5,30,9,NA
6,0,9,NA
6,1,9,NA
6,2,9,NA
6,3,9,NA
6,4,9,NA
6,5,9,NA
6,6,9,NA
6,7,9,NA
6,8,9,NA
6,9,9,NA
6,10,9,NA
6,11,9,NA
6,12,9,NA
6,13,9,NA
6,14,9,NA
6,15,9,NA
6,16,9,NA
6,17,9,NA
6,18,9,NA
6,19,9,NA
6,20,9,NA
6,21,9,NA
6,22,9,NA
6,23,9,NA
6,24,9,NA
6,25,9,NA
6,26,9,NA
6,27,9,NA
6,28,9,NA
6,29,9,NA
6,30,9,NA
7,0,9,NA
7,1,9,NA
7,2,9,NA
7,3,9,NA
7,4,9,NA
7,5,9,NA
7,6,9,NA
7,7,9,NA
7,8,9,NA
7,9,9,NA
7,10,9,NA
7,11,9,NA
7,12,9,NA
7,13,9,NA
7,14,9,NA
7,15,9,NA
7,16,9,NA
7,17,9,NA
7,18,9,NA
7,19,9,NA
7,20,9,NA
7,21,9,NA
7,22,9,NA
7,23,9,NA
7,24,9,NA
7,25,9,NA
7,26,9,NA
7,27,9,NA
7,28,9,NA
7,29,9,NA
7,30,9,NA
8,0,9,NA
8,1,9,NA
8,2,9,NA
8,3,9,NA
8,4,9,NA
8,5,9,NA
8,6,9,NA
8,7,9,NA
8,8,9,NA
8,9,9,NA
8,10,9,NA
8,11,9,NA
8,12,9,NA
8,13,9,NA
8,14,9,NA
8,15,9,NA
8,16,9,NA
8,17,9,NA
8,18,9,NA
8,19,9,NA
8,20,9,NA
8,21,9,NA
8,22,9,NA
8,23,9,NA
8,24,9,NA
8,25,9,NA
8,26,9,NA
8,27,9,NA
8,28,9,NA
8,29,9,NA
8,30,9,NA
9,0,9,NA
9,1,9,NA
9,2,9,NA
9,3,9,NA
9,4,9,NA
9,5,9,NA
9,6,9,NA
9,7,9,NA
9,8,9,NA
9,9,9,NA
9,10,9,NA
9,11,9,NA
9,12,9,NA
9,13,9,NA
9,14,9,NA
9,15,9,NA
9,16,9,NA
9,17,9,NA
9,18,9,NA
9,19,9,NA
9,20,9,NA
9,21,9,NA
9,22,9,NA
9,23,9,NA
9,24,9,NA
9,25,9,NA
9,26,9,NA
9,27,9,NA
9,28,9,NA
9,29,9,NA
9,30,9,NA
10,0,9,NA
10,1,9,NA
10,2,9,NA
10,3,9,NA
10,4,9,NA
10,5,9,NA
10,6,9,NA
10,7,9,NA
10,8,9,NA
10,9,9,NA
10,10,9,NA
10,11,9,NA
10,12,9,NA
10,13,9,NA
10,14,9,NA
10,15,9,NA
10,16,9,NA
10,17,9,NA
10,18,9,NA
10,19,9,NA
10,20,9,NA
10,21,9,NA
10,22,9,NA
10,23,9,NA
10,24,9,NA
10,25,9,NA
10,26,9,NA
10,27,9,NA
10,28,9,NA
10,29,9,NA
10,30,9,NA
11,0,9,NA
11,1,9,NA
11,2,9,NA
11,3,9,NA
11,4,9,NA
11,5,9,NA
11,6,9,NA
11,7,9,NA
11,8,9,NA
11,9,9,NA
11,10,9,NA
11,11,9,NA
11,12,9,NA
11,13,9,NA
11,14,9,NA
11,15,9,NA
11,16,9,NA
11,17,9,NA
11,18,9,NA
11,19,9,NA
11,20,9,NA
11,21,9,NA
11,22,9,NA
11,23,9,NA
11,24,9,NA
11,25,9,NA
11,26,9,NA
11,27,9,NA
11,28,9,NA
11,29,9,NA
11,30,9,NA
12,0,9,NA
12,1,9,NA
12,2,9,NA
12,3,9,NA
12,4,9,NA
12,5,9,NA
12,6,9,NA
12,7,9,NA
12,8,9,NA
12,9,9,NA
12,10,9,NA
12,11,9,NA
12,12,9,NA
12,13,9,NA
12,14,9,NA
12,15,9,NA
12,16,9,NA
12,17,9,NA
12,18,9,NA
12,19,9,NA
12,20,9,NA
12,21,9,NA
12,22,9,NA
12,23,9,NA
12,24,9,NA
12,25,9,NA
12,26,9,NA
12,27,9,NA
12,28,9,NA
12,29,9,NA
12,30,9,NA
1,0,8,NA
1,1,8,NA
1,2,8,NA
1,3,8,NA
1,4,8,NA
1,5,8,NA
1,6,8,NA
1,7,8,NA
1,8,8,NA
1,9,8,NA
1,10,8,NA
1,11,8,NA
1,12,8,NA
1,13,8,NA
1,14,8,NA
1,15,8,NA
1,16,8,NA
1,17,8,NA
1,18,8,NA
1,19,8,NA
1,20,8,NA
1,21,8,NA
1,22,8,NA
1,23,8,NA
1,24,8,NA
1,25,8,NA
1,26,8,NA
1,27,8,NA
1,28,8,NA
1,29,8,NA
1,30,8,NA
2,0,8,NA
2,1,8,NA
2,2,8,NA
2,3,8,NA
2,4,8,NA
2,5,8,NA
2,6,8,NA
2,7,8,NA
2,8,8,NA
2,9,8,NA
2,10,8,NA
2,11,8,NA
2,12,8,NA
2,13,8,NA
2,14,8,NA
2,15,8,NA
2,16,8,NA
2,17,8,NA
2,18,8,NA
2,19,8,NA
2,20,8,NA
2,21,8,NA
2,22,8,NA
2,23,8,NA
2,24,8,NA
2,25,8,NA
2,26,8,NA
2,27,8,NA
2,28,8,NA
2,29,8,NA
2,30,8,NA
3,0,8,NA
3,1,8,NA
3,2,8,NA
3,3,8,NA
3,4,8,NA
3,5,8,NA
3,6,8,NA
3,7,8,NA
3,8,8,NA
3,9,8,NA
3,10,8,NA
3,11,8,NA
3,12,8,NA
3,13,8,NA
3,14,8,NA
3,15,8,NA
3,16,8,NA
3,17,8,NA
3,18,8,NA
3,19,8,NA
3,20,8,NA
3,21,8,NA
3,22,8,NA
3,23,8,NA
3,24,8,NA
3,25,8,NA
3,26,8,NA
3,27,8,NA
3,28,8,NA
3,29,8,NA
3,30,8,NA
4,0,8,NA
4,1,8,NA
4,2,8,NA
4,3,8,NA
4,4,8,NA
4,5,8,NA
4,6,8,NA
4,7,8,NA
4,8,8,NA
4,9,8,NA
4,10,8,NA
4,11,8,NA
4,12,8,NA
4,13,8,NA
4,14,8,NA
4,15,8,NA
4,16,8,NA
4,17,8,NA
4,18,8,NA
4,19,8,NA
4,20,8,NA
4,21,8,NA
4,22,8,NA
4,23,8,NA
4,24,8,NA
4,25,8,NA
4,26,8,NA
4,27,8,NA
4,28,8,NA
4,29,8,NA
4,30,8,NA
5,0,8,NA
5,1,8,NA
5,2,8,NA
5,3,8,NA
5,4,8,NA
5,5,8,NA
5,6,8,NA
5,7,8,NA
5,8,8,NA
5,9,8,NA
5,10,8,NA
5,11,8,NA
5,12,8,NA
5,13,8,NA
5,14,8,NA
5,15,8,NA
5,16,8,NA
5,17,8,NA
5,18,8,NA
5,19,8,NA
5,20,8,NA
5,21,8,NA
5,22,8,NA
5,23,8,NA
5,24,8,NA
5,25,8,NA
5,26,8,NA
5,27,8,NA
5,28,8,NA
5,29,8,NA
5,30,8,NA
6,0,8,NA
6,1,8,NA
6,2,8,NA
6,3,8,NA
6,4,8,NA
6,5,8,NA
6,6,8,NA
6,7,8,NA
6,8,8,NA
6,9,8,NA
6,10,8,NA
6,11,8,NA
6,12,8,NA
6,13,8,NA
6,14,8,NA
6,15,8,NA
6,16,8,NA
6,17,8,NA
6,18,8,NA
6,19,8,NA
6,20,8,NA
6,21,8,NA
6,22,8,NA
6,23,8,NA
6,24,8,NA
6,25,8,NA
6,26,8,NA
6,27,8,NA
6,28,8,NA
6,29,8,NA
6,30,8,NA
7,0,8,NA
7,1,8,NA
7,2,8,NA
7,3,8,NA
7,4,8,NA
7,5,8,NA
7,6,8,NA
7,7,8,NA
7,8,8,NA
7,9,8,NA
7,10,8,NA
7,11,8,NA
7,12,8,NA
7,13,8,NA
7,14,8,NA
7,15,8,NA
7,16,8,NA
7,17,8,NA
7,18,8,NA
7,19,8,NA
7,20,8,NA
7,21,8,NA
7,22,8,NA
