Replicate,Phage,Host.Environment,Host.Timepoint,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
2.1,1,Past,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.1,2,Past,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.1,3,Past,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.1,4,Past,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.1,5,Past,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.1,6,Past,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.1,7,Past,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.1,8,Past,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.1,9,Past,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.1,10,Past,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.1,11,Past,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.1,12,Past,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.1,1,Past,t4,1,1,1,1,1,1,1,1,0,0,1,1
2.1,2,Past,t4,1,1,1,1,1,1,1,1,1,0,1,1
2.1,3,Past,t4,0,0,1,0,0,0,0,0,0,0,1,0
2.1,4,Past,t4,1,1,1,1,1,1,1,1,0,0,1,0
2.1,5,Past,t4,0,0,1,0,0,0,0,0,0,0,1,0
2.1,6,Past,t4,1,1,1,1,1,1,1,1,1,0,1,1
2.1,7,Past,t4,1,1,1,1,1,1,1,1,1,0,1,1
2.1,8,Past,t4,1,1,1,1,1,1,1,1,1,1,1,1
2.1,9,Past,t4,1,1,1,1,1,1,1,1,1,1,1,1
2.1,10,Past,t4,1,1,1,1,1,1,1,1,1,1,1,1
2.1,11,Past,t4,0,0,1,0,0,0,0,0,1,0,1,0
2.1,12,Past,t4,1,1,1,1,1,1,1,1,1,0,1,1
2.1,1,Contemporary,t9,1,1,1,1,1,1,1,0,1,1,1,0
2.1,2,Contemporary,t9,1,1,1,1,1,1,1,0,1,1,1,0
2.1,3,Contemporary,t9,0,0,0,0,0,0,0,0,0,0,0,0
2.1,4,Contemporary,t9,1,1,1,1,1,1,1,0,1,1,1,0
2.1,5,Contemporary,t9,0,0,0,0,1,0,0,0,0,0,0,0
2.1,6,Contemporary,t9,1,1,1,1,1,1,0,1,1,1,1,0
2.1,7,Contemporary,t9,1,1,1,1,1,1,1,1,1,1,1,0
2.1,8,Contemporary,t9,1,1,1,1,1,1,1,1,1,1,1,0
2.1,9,Contemporary,t9,1,1,1,1,1,1,1,1,1,1,1,0
2.1,10,Contemporary,t9,1,1,1,1,1,1,1,1,0,1,1,0
2.1,11,Contemporary,t9,0,0,0,0,1,0,0,1,0,0,0,0
2.1,12,Contemporary,t9,1,1,1,1,1,1,1,1,0,1,1,0
