Replicate,Phage.Genotype,Host.Timepoint,Host.Genotype,Infected,Phage.Timepoint,Host.Background,Resistant,Phage.Background
2.1,1,t1,h1,1,t1,Contemporary,0,Contemporary
2.1,2,t1,h1,1,t1,Contemporary,0,Contemporary
2.1,3,t1,h1,1,t1,Contemporary,0,Contemporary
2.1,4,t1,h1,1,t1,Contemporary,0,Contemporary
2.1,5,t1,h1,1,t1,Contemporary,0,Contemporary
2.1,6,t1,h1,1,t1,Contemporary,0,Contemporary
2.1,7,t1,h1,1,t1,Contemporary,0,Contemporary
2.1,8,t1,h1,1,t1,Contemporary,0,Contemporary
2.1,9,t1,h1,1,t1,Contemporary,0,Contemporary
2.1,10,t1,h1,1,t1,Contemporary,0,Contemporary
2.1,11,t1,h1,1,t1,Contemporary,0,Contemporary
2.1,12,t1,h1,1,t1,Contemporary,0,Contemporary
2.1,1,t4,h1,0,t1,Future,1,Past
2.1,2,t4,h1,0,t1,Future,1,Past
2.1,3,t4,h1,0,t1,Future,1,Past
2.1,4,t4,h1,0,t1,Future,1,Past
2.1,5,t4,h1,0,t1,Future,1,Past
2.1,6,t4,h1,0,t1,Future,1,Past
2.1,7,t4,h1,0,t1,Future,1,Past
2.1,8,t4,h1,0,t1,Future,1,Past
2.1,9,t4,h1,0,t1,Future,1,Past
2.1,10,t4,h1,0,t1,Future,1,Past
2.1,11,t4,h1,0,t1,Future,1,Past
2.1,12,t4,h1,0,t1,Future,1,Past
2.1,1,t9,h1,0,t1,Future,1,Past
2.1,2,t9,h1,0,t1,Future,1,Past
2.1,3,t9,h1,0,t1,Future,1,Past
2.1,4,t9,h1,0,t1,Future,1,Past
2.1,5,t9,h1,0,t1,Future,1,Past
2.1,6,t9,h1,0,t1,Future,1,Past
2.1,7,t9,h1,0,t1,Future,1,Past
2.1,8,t9,h1,0,t1,Future,1,Past
2.1,9,t9,h1,0,t1,Future,1,Past
2.1,10,t9,h1,0,t1,Future,1,Past
2.1,11,t9,h1,0,t1,Future,1,Past
2.1,12,t9,h1,0,t1,Future,1,Past
2.1,1,t1,h2,1,t1,Contemporary,0,Contemporary
2.1,2,t1,h2,1,t1,Contemporary,0,Contemporary
2.1,3,t1,h2,1,t1,Contemporary,0,Contemporary
2.1,4,t1,h2,1,t1,Contemporary,0,Contemporary
2.1,5,t1,h2,1,t1,Contemporary,0,Contemporary
2.1,6,t1,h2,1,t1,Contemporary,0,Contemporary
2.1,7,t1,h2,1,t1,Contemporary,0,Contemporary
2.1,8,t1,h2,1,t1,Contemporary,0,Contemporary
2.1,9,t1,h2,1,t1,Contemporary,0,Contemporary
2.1,10,t1,h2,1,t1,Contemporary,0,Contemporary
2.1,11,t1,h2,1,t1,Contemporary,0,Contemporary
2.1,12,t1,h2,1,t1,Contemporary,0,Contemporary
2.1,1,t4,h2,0,t1,Future,1,Past
2.1,2,t4,h2,0,t1,Future,1,Past
2.1,3,t4,h2,0,t1,Future,1,Past
2.1,4,t4,h2,0,t1,Future,1,Past
2.1,5,t4,h2,0,t1,Future,1,Past
2.1,6,t4,h2,0,t1,Future,1,Past
2.1,7,t4,h2,0,t1,Future,1,Past
2.1,8,t4,h2,0,t1,Future,1,Past
2.1,9,t4,h2,0,t1,Future,1,Past
2.1,10,t4,h2,0,t1,Future,1,Past
2.1,11,t4,h2,0,t1,Future,1,Past
2.1,12,t4,h2,0,t1,Future,1,Past
2.1,1,t9,h2,0,t1,Future,1,Past
2.1,2,t9,h2,0,t1,Future,1,Past
2.1,3,t9,h2,0,t1,Future,1,Past
2.1,4,t9,h2,0,t1,Future,1,Past
2.1,5,t9,h2,0,t1,Future,1,Past
2.1,6,t9,h2,0,t1,Future,1,Past
2.1,7,t9,h2,0,t1,Future,1,Past
2.1,8,t9,h2,0,t1,Future,1,Past
2.1,9,t9,h2,0,t1,Future,1,Past
2.1,10,t9,h2,0,t1,Future,1,Past
2.1,11,t9,h2,0,t1,Future,1,Past
2.1,12,t9,h2,0,t1,Future,1,Past
2.1,1,t1,h3,1,t1,Contemporary,0,Contemporary
2.1,2,t1,h3,1,t1,Contemporary,0,Contemporary
2.1,3,t1,h3,1,t1,Contemporary,0,Contemporary
2.1,4,t1,h3,1,t1,Contemporary,0,Contemporary
2.1,5,t1,h3,1,t1,Contemporary,0,Contemporary
2.1,6,t1,h3,1,t1,Contemporary,0,Contemporary
2.1,7,t1,h3,1,t1,Contemporary,0,Contemporary
2.1,8,t1,h3,1,t1,Contemporary,0,Contemporary
