"Replicate","Timepoint","Phage","Host"
"2.1","t1",0,0
"2.2","t1",0.1949694,0
"2.3","t1",0.2575614,0.3757679
"2.4","t1",0.1602143,0.1602146
"2.5","t1",0.4651868,0
"2.6","t1",0.6387616,0
"2.7","t1",0.2740652,0.5040159
"2.11","t1",0,0
"2.1","t4",0.2911075,0.2914189
"2.2","t4",0.2330816,0.2330814
"2.3","t4",0.6469845,0.6467359
"2.4","t4",0,0
"2.5","t4",0.04831821,0
"2.6","t4",0.1850905,0.8846024
"2.7","t4",0,0
"2.11","t4",0,0
"2.1","t9",0,0
"2.2","t9",0.3512406,0.2977964
"2.3","t9",0.2522883,0
"2.4","t9",0,0
"2.5","t9",0,0
"2.6","t9",0,0
"2.7","t9",0.1773599,0.1773599
"2.11","t9",0.1445705,0.1445705
