Replicate,Timepoint,Phage.Genotype,Host.Genotype,Infected,Resisted
2.1,t1,1,1,1.000,0.000
2.1,t1,2,2,1.000,0.000
2.1,t1,3,3,1.000,0.000
2.1,t1,4,4,1.000,0.000
2.1,t1,5,5,1.000,0.000
2.1,t1,6,6,1.000,0.000
2.1,t1,7,7,1.000,0.000
2.1,t1,8,8,1.000,0.000
2.1,t1,9,9,1.000,0.000
2.1,t1,10,10,1.000,0.000
2.1,t1,11,11,1.000,0.000
2.1,t1,12,12,1.000,0.000
2.1,t4,1,1,0.167,0.944
2.1,t4,2,2,0.222,0.833
2.1,t4,3,3,0.167,0.000
2.1,t4,4,4,0.167,0.944
2.1,t4,5,5,0.167,0.944
2.1,t4,6,6,0.167,0.000
2.1,t4,7,7,0.667,0.944
2.1,t4,8,8,0.167,0.944
2.1,t4,9,9,0.222,0.944
2.1,t4,10,10,0.222,0.944
2.1,t4,11,11,0.167,0.944
2.1,t4,12,12,0.167,0.944
2.1,t9,1,1,0.000,1.000
2.1,t9,2,2,0.000,1.000
2.1,t9,3,3,0.000,1.000
2.1,t9,4,4,0.000,1.000
2.1,t9,5,5,0.000,1.000
2.1,t9,6,6,0.000,1.000
2.1,t9,7,7,0.000,1.000
2.1,t9,8,8,0.000,1.000
2.1,t9,9,9,0.000,1.000
2.1,t9,10,10,0.000,1.000
2.1,t9,11,11,0.000,1.000
2.1,t9,12,12,0.000,1.000
2.2,t1,1,1,0.563,0.271
2.2,t1,2,2,0.750,0.354
2.2,t1,3,3,0.750,0.333
2.2,t1,4,4,0.563,0.333
2.2,t1,5,5,0.625,0.354
2.2,t1,6,6,0.750,0.354
2.2,t1,7,7,0.625,0.271
2.2,t1,8,8,0.604,0.375
2.2,t1,9,9,0.729,0.354
2.2,t1,10,10,0.750,0.396
2.2,t1,11,11,0.604,0.313
2.2,t1,12,12,0.604,0.375
2.2,t4,1,1,0.521,0.563
2.2,t4,2,2,0.521,0.646
2.2,t4,3,3,0.521,0.646
2.2,t4,4,4,0.500,0.563
2.2,t4,5,5,0.500,0.604
2.2,t4,6,6,0.500,0.563
2.2,t4,7,7,0.500,0.646
2.2,t4,8,8,0.250,0.563
2.2,t4,9,9,0.333,0.521
2.2,t4,10,10,0.271,0.563
2.2,t4,11,11,0.271,0.646
2.2,t4,12,12,0.208,0.583
2.2,t9,1,1,0.229,0.917
2.2,t9,2,2,0.125,0.958
2.2,t9,3,3,0.021,0.958
2.2,t9,4,4,0.042,0.917
2.2,t9,5,5,0.063,0.917
2.2,t9,6,6,0.000,0.938
2.2,t9,7,7,0.000,0.938
2.2,t9,8,8,0.000,0.938
2.2,t9,9,9,0.188,0.875
2.2,t9,10,10,0.000,0.958
2.2,t9,11,11,0.083,0.938
2.2,t9,12,12,0.083,0.917
2.3,t1,1,1,0.444,0.472
2.3,t1,2,2,0.528,0.500
2.3,t1,3,3,0.583,0.250
2.3,t1,4,4,0.417,0.472
2.3,t1,5,5,0.639,0.611
2.3,t1,6,6,0.444,0.389
2.3,t1,7,7,0.722,0.500
2.3,t1,8,8,0.917,0.500
2.3,t1,9,9,0.389,0.389
2.3,t1,10,10,0.444,0.444
2.3,t1,11,11,0.583,0.528
2.3,t1,12,12,0.361,0.472
2.3,t4,1,1,0.361,0.694
2.3,t4,2,2,0.167,0.833
2.3,t4,3,3,0.139,0.806
2.3,t4,4,4,0.111,0.694
2.3,t4,5,5,0.111,0.806
2.3,t4,6,6,0.028,0.833
2.3,t4,7,7,0.306,0.833
