replicate,timepoint,phage,host,infectivity,resistance
2.5,t1,1,1,0.962962963,0.083333333
2.5,t1,2,2,1,-1.49E-16
2.5,t1,3,3,1,0.027777778
2.5,t1,4,4,0.777777778,0.083333333
2.5,t1,5,5,1,1.73E-17
2.5,t1,6,6,1,0.027777778
2.5,t1,7,7,1,0.027777778
2.5,t1,8,8,1,0.027777778
2.5,t1,9,9,1,2.15E-16
2.5,t1,10,10,1,NA
2.5,t1,11,11,0.925925926,NA
2.5,t1,12,12,0.962962963,NA
2.5,t4,1,1,0.888888889,-3.05E-16
2.5,t4,2,2,0.851851852,0.277777778
2.5,t4,3,3,1,0.083333333
2.5,t4,4,4,0.777777778,0.277777778
2.5,t4,5,5,0.888888889,0.027777778
2.5,t4,6,6,0.925925926,0.25
2.5,t4,7,7,0.888888889,0.027777778
2.5,t4,8,8,1,-7.08E-16
2.5,t4,9,9,0.888888889,-5.00E-16
2.5,t4,10,10,0.888888889,NA
2.5,t4,11,11,0.851851852,NA
2.5,t4,12,12,0.888888889,NA
2.5,t9,1,1,0,1
2.5,t9,2,2,0,1
2.5,t9,3,3,0,1
2.5,t9,4,4,0,1
2.5,t9,5,5,0,1
2.5,t9,6,6,0,1
2.5,t9,7,7,0,1
2.5,t9,8,8,0,1
2.5,t9,9,9,0,1
2.5,t9,10,10,0,1
2.5,t9,11,11,0,1
2.5,t9,12,12,0,1
